Graph_ID,Vertices,Edges,Prim_Cost,Prim_Operations,Prim_Time_ms,Kruskal_Cost,Kruskal_Operations,Kruskal_Time_ms,Cost_Match
1,32,107,485,523,1.04,485,1298,2.26,YES
2,27,88,422,409,0.25,422,965,0.12,YES
3,25,73,459,348,0.13,459,822,0.10,YES
4,34,134,473,620,0.23,473,1626,0.39,YES
5,25,140,323,580,0.43,323,1563,0.26,YES
6,309,9709,715,31856,10.22,715,135490,6.25,YES
7,287,12145,548,38981,11.63,548,167294,2.75,YES
8,311,13618,578,43461,12.61,578,186580,3.15,YES
9,299,7197,881,24659,4.12,881,96986,1.84,YES
10,319,14635,566,46544,9.90,566,199610,3.41,YES
11,288,9498,683,30815,5.34,683,131313,2.14,YES
12,302,12989,570,41746,9.76,570,177958,4.41,YES
13,285,4226,1215,15051,2.84,1215,58560,1.40,YES
14,300,8496,762,28630,5.19,762,121273,1.90,YES
15,284,6679,817,23659,4.85,817,93210,1.81,YES
16,1050,51650,1884,165092,36.84,1884,809590,12.50,YES
17,1043,50684,1947,164504,36.16,1947,802405,9.37,YES
18,967,41433,1859,140013,30.65,1859,679809,8.00,YES
19,994,69941,1397,218292,45.80,1397,1149164,9.39,YES
20,1023,59745,1616,188804,33.17,1616,930065,8.76,YES
21,1001,63548,1510,200522,39.10,1510,988874,10.40,YES
22,982,50707,1702,161033,30.36,1702,790144,7.46,YES
23,957,38644,1977,125734,21.85,1977,614071,5.74,YES
24,984,58620,1520,185347,28.79,1520,912656,8.38,YES
25,986,59150,1519,187649,29.68,1519,924971,8.58,YES
26,1300,42217,3142,144620,23.39,3142,698367,7.01,YES
27,1600,51168,3604,168915,26.85,3604,819943,7.53,YES
28,2000,59970,4984,201660,32.74,4984,975491,9.79,YES
